start next to table end on table (leave puddle)
height of setup:,57.77
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
937,1077,1650,2085,1868
938,1074,1632,2083,1857
939,1073,1619,2087,1854
940,1063,1594,2082,1846
941,1064,1596,2091,1872
942,1063,1593,2104,1912
943,1052,1574,2099,1955
944,1052,1577,2132,2013
945,1053,1577,2155,2064
946,1038,1550,2147,2074
947,1035,1552,2169,2113
948,1050,1565,2193,2132
949,1053,1567,2202,2134
950,1059,1579,2210,2132
952,1073,1603,2228,2140
953,1084,1629,2249,2140
954,1085,1645,2257,2118
955,1081,1656,2247,2089
956,1101,1686,2270,2090
957,1111,1701,2284,2084
958,1115,1690,2249,2060
959,1131,1700,2243,2052
960,1149,1716,2235,2050
961,1162,1726,2217,2044
962,1174,1730,2205,2043
963,1177,1720,2185,2031
964,1181,1715,2175,2044
965,1170,1697,2151,2037
966,1155,1669,2123,2028
967,1138,1637,2088,2020
968,1117,1602,2049,2011
969,1096,1564,2007,2002
970,1075,1527,1965,1992
971,1050,1492,1920,1977
972,1034,1472,1896,1986
973,1018,1454,1882,2008
974,1003,1440,1887,2032
975,991,1430,1907,2050
977,983,1423,1929,2056
978,978,1421,1946,2056
979,976,1424,1955,2048
980,976,1430,1962,2039
981,976,1436,1966,2027
982,976,1442,1971,2016
983,973,1437,1974,1994
984,973,1442,1985,1999
985,966,1438,1986,1977
986,969,1434,1998,1988
987,966,1429,2003,1983
988,962,1423,2005,1979
989,955,1414,2003,1974
990,945,1399,1993,1971
991,935,1378,1971,1967
992,924,1355,1943,1963
993,918,1338,1909,1958
994,912,1327,1881,1952
995,907,1323,1857,1946
996,902,1321,1842,1936
997,899,1324,1832,1926
999,899,1330,1826,1916
1000,904,1341,1825,1909
1001,912,1350,1822,1888
1002,925,1368,1839,1889
1003,938,1381,1850,1865
1004,952,1394,1856,1834
1005,964,1403,1855,1800
1006,976,1413,1851,1765
1007,987,1421,1848,1738
1008,996,1431,1852,1727
1009,1003,1445,1864,1730
1010,1008,1459,1877,1739
1011,1013,1481,1904,1770
1012,1015,1499,1931,1815
1013,1016,1518,1968,1872
1014,1018,1540,2005,1915
1015,1019,1565,2029,1938
1016,1021,1584,2040,1946
1017,1024,1597,2047,1944
1018,1024,1603,2048,1938
1019,1029,1617,2058,1932
1020,1031,1625,2064,1926
1022,1034,1629,2067,1918
1023,1038,1631,2071,1913
1024,1045,1629,2074,1912
1025,1053,1624,2076,1919
1026,1063,1618,2079,1933
1027,1072,1614,2080,1953
1028,1083,1612,2082,1975
1029,1092,1611,2083,1993
1030,1100,1613,2082,2000
1031,1107,1615,2079,2000
1032,1114,1619,2076,1994
1033,1119,1623,2072,1986
1034,1125,1628,2069,1977
1035,1130,1631,2065,1966
1036,1135,1637,2063,1957
1037,1140,1642,2062,1948
1038,1145,1647,2060,1938
1039,1149,1653,2060,1930
1040,1152,1659,2057,1920
1041,1152,1664,2050,1910
1042,1150,1666,2042,1897
1044,1148,1668,2035,1880
1045,1144,1669,2027,1858
1046,1139,1668,2016,1831
1047,1133,1665,2007,1810
1048,1127,1661,1998,1795
1049,1120,1653,1993,1789
1050,1115,1644,1989,1787
1051,1111,1634,1987,1790
1052,1108,1625,1985,1796
1053,1105,1617,1985,1802
1054,1103,1611,1986,1809
1055,1100,1606,1987,1813
1056,1095,1602,1989,1820
1057,1086,1593,1984,1820
1058,1079,1591,1994,1829
1059,1068,1583,1996,1832
1060,1054,1572,1997,1834
1061,1040,1560,1996,1835
1062,1026,1549,1988,1831
1063,1014,1536,1977,1824
1064,1006,1524,1964,1817
1065,1001,1515,1956,1810
1067,1002,1509,1952,1805
1068,1006,1503,1950,1799
1069,1012,1500,1948,1796
1070,1019,1499,1946,1793
1071,1028,1500,1944,1792
1072,1036,1500,1942,1794
1073,1043,1501,1941,1796
1074,1048,1501,1942,1799
1075,1052,1502,1946,1804
1076,1055,1503,1948,1809
1077,1057,1504,1951,1812
1078,1059,1504,1954,1815
1079,1058,1505,1955,1819
1080,1056,1505,1955,1820
1081,1051,1503,1955,1822
1082,1043,1497,1955,1823
1083,1034,1490,1954,1824
1084,1024,1479,1949,1825
1085,1015,1471,1937,1825
1086,1006,1463,1922,1825
1087,995,1456,1906,1824
1088,981,1444,1889,1823
1090,967,1424,1870,1821
1091,950,1396,1839,1818
1092,931,1365,1808,1815
1093,914,1335,1770,1813
